round,h_ronda,node,aggregation_method,accuracy,precision,recall,f1_score,specificity,sensitivity,trainning_time,loss,cpu_percent_before,cpu_percent_after,ram_mb_before,ram_mb_after,temperature_c,cpu_freq_mhz,open_sockets,latency_model_download_s,latency_model_upload_s,net_bytes_tx_model,net_bytes_tx_system,net_bandwidth_tx_kbps,net_packets_sent,net_errors_out,net_drops_out,net_bytes_rx_model,net_bytes_rx_system,net_bandwidth_rx_kbps,net_packets_recv,net_errors_in,net_drops_in,net_throughput_kbps,net_transmission_time_s,central_net_bytes_rx_model,central_net_bytes_rx_system,central_net_bandwidth_rx_kbps,central_net_throughput_kbps,central_net_transmission_time_s,central_net_bytes_tx_model,central_net_bytes_tx_system,central_net_bandwidth_tx_kbps,central_latency_model_dist_s,ecomp_j,ecomm_j,etotal_j,cumulative_etotal_j,n_train_samples,fednova_tau,nova_grad_available,comm_overhead_bytes,aggregation_time_s,inter_silo_variance,recall_variance,global_recall,best_recall_so_far,straggler_delay_s,worker_arrival_order,rounds_no_improvement,early_stopping_triggered,total_etotal_round_j,cumulative_ealpha_j,converged,converged_round,convergence_time_s
3,0,Nodo_1,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.09424924850463867,0.0,7.3,7.5,632.16,632.79,46.74,1500.0,18,0.052,0.112,94781,94290,6753.65,69,0,0,94589,91177,14035.52,63,0,0,7679.27,0.112,0,15728,19538.84,21553.85,0.006,0,226733,25752.47,0.07,0.0038707200000000002,0.026,0.02987072,0.091612,64,12,False,0,0.034,0.0,0.0,1.0,1.0,0.001,"{""Nodo_3"": 5.387, ""Nodo_1"": 5.388, ""Nodo_2"": 5.388, ""Nodo_5"": 5.388, ""Nodo_4"": 5.388}",2,False,0.342668,0.873504,False,1,
3,0,Nodo_2,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.06639838218688965,0.0,7.7,7.3,653.42,655.46,43.82,1500.0,18,0.053,0.125,94781,94282,6036.06,69,0,0,94589,91177,13890.04,63,0,0,7326.48,0.125,0,518,775.53,2685.91,0.005,0,387754,11907.42,0.261,0.00229824,0.0265,0.02879824,0.136395,38,9,False,0,0.034,0.0,0.0,1.0,1.0,0.001,"{""Nodo_3"": 5.387, ""Nodo_1"": 5.388, ""Nodo_2"": 5.388, ""Nodo_5"": 5.388, ""Nodo_4"": 5.388}",2,False,0.342668,0.873504,False,1,
3,0,Nodo_5,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.3585374355316162,0.0,2.6,2.6,687.82,694.75,42.35,1500.0,18,0.116,0.079,94781,92896,9381.26,67,0,0,94589,101970,7046.65,136,0,0,9725.82,0.079,0,523,939.35,3259.89,0.004,0,279095,16581.25,0.135,0.011975040000000001,0.058,0.06997504,0.194925,198,39,False,0,0.034,0.0,0.0,1.0,1.0,0.001,"{""Nodo_3"": 5.387, ""Nodo_1"": 5.388, ""Nodo_2"": 5.388, ""Nodo_5"": 5.388, ""Nodo_4"": 5.388}",2,False,0.342668,0.873504,False,1,
3,0,Nodo_4,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.0454258918762207,0.0,12.5,2.5,713.73,713.64,41.87,1500.0,20,0.315,0.916,94781,93007,812.11,68,0,0,94589,107944,2743.08,189,0,0,1228.09,0.916,0,519,852.95,2950.0,0.005,0,465071,6503.45,0.572,0.001512,0.1575,0.15901200000000001,0.230536,25,6,False,0,0.034,0.0,0.0,1.0,1.0,0.001,"{""Nodo_3"": 5.387, ""Nodo_1"": 5.388, ""Nodo_2"": 5.388, ""Nodo_5"": 5.388, ""Nodo_4"": 5.388}",2,False,0.342668,0.873504,False,1,
4,0,Nodo_4,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.05791831016540527,0.0,0.0,5.0,712.93,713.08,42.35,1500.0,22,0.06,0.082,94781,92856,9023.36,67,0,0,94589,91150,12150.64,63,0,0,9296.04,0.082,0,45508,32837.19,34186.53,0.011,0,262213,18205.27,0.115,0.001512,0.03,0.031512,0.262048,25,6,False,0,0.021,0.0,0.0,1.0,1.0,0.0,"{""Nodo_4"": 4.099, ""Nodo_3"": 4.099, ""Nodo_2"": 4.099, ""Nodo_1"": 4.099, ""Nodo_5"": 4.099}",3,True,0.320668,1.194172,True,1,6.236
4,0,Nodo_3,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.04500293731689453,0.0,2.4,2.5,673.33,676.79,43.82,1500.0,20,0.133,0.085,94781,93070,8724.73,68,0,0,94589,105799,6365.71,97,0,0,8845.75,0.085,0,891,797.64,1999.01,0.009,0,437367,19816.63,0.177,0.001512,0.0665,0.068012,0.288048,25,6,False,0,0.021,0.0,0.0,1.0,1.0,0.0,"{""Nodo_4"": 4.099, ""Nodo_3"": 4.099, ""Nodo_2"": 4.099, ""Nodo_1"": 4.099, ""Nodo_5"": 4.099}",3,True,0.320668,1.194172,True,1,6.236
4,0,Nodo_2,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.06622743606567383,0.0,0.0,0.0,652.23,669.15,41.87,1500.0,20,0.113,0.097,94781,93074,7715.34,68,0,0,94589,106845,7558.26,98,0,0,7896.79,0.097,0,38065,30480.37,32083.46,0.01,0,370909,18356.51,0.162,0.00229824,0.0565,0.05879824,0.195193,38,9,False,0,0.021,0.0,0.0,1.0,1.0,0.0,"{""Nodo_4"": 4.099, ""Nodo_3"": 4.099, ""Nodo_2"": 4.099, ""Nodo_1"": 4.099, ""Nodo_5"": 4.099}",3,True,0.320668,1.194172,True,1,6.236
4,0,Nodo_1,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.0969381332397461,0.0,5.0,0.0,630.29,634.13,47.23,1500.0,20,0.149,0.081,94781,93081,9247.56,68,0,0,94589,105799,5686.97,97,0,0,9470.2,0.081,0,520,1044.12,3638.36,0.004,0,465251,18196.27,0.205,0.0038707200000000002,0.0745,0.07837071999999999,0.169983,64,12,False,0,0.021,0.0,0.0,1.0,1.0,0.0,"{""Nodo_4"": 4.099, ""Nodo_3"": 4.099, ""Nodo_2"": 4.099, ""Nodo_1"": 4.099, ""Nodo_5"": 4.099}",3,True,0.320668,1.194172,True,1,6.236
4,0,Nodo_5,FedAvg,1.0,1.0,1.0,1.0,1.0,0.0,0.3082568645477295,0.0,0.0,2.5,691.76,691.55,43.82,1500.0,20,0.144,0.081,94781,93098,9142.22,68,0,0,94589,105799,5888.44,97,0,0,9899.54,0.081,0,574,720.17,2341.18,0.006,0,464519,19712.85,0.189,0.011975040000000001,0.072,0.08397504,0.2789,198,39,False,0,0.021,0.0,0.0,1.0,1.0,0.0,"{""Nodo_4"": 4.099, ""Nodo_3"": 4.099, ""Nodo_2"": 4.099, ""Nodo_1"": 4.099, ""Nodo_5"": 4.099}",3,True,0.320668,1.194172,True,1,6.236
1,0,Nodo_4,FedNova,1.0,1.0,1.0,1.0,1.0,0.0,0.09376668930053711,4.1710702996504934e-05,7.7,7.3,598.05,667.28,42.84,1500.0,15,0.0,0.246,94781,93120,3024.73,68,0,0,,,,,,,3791.82,0.246,0,1036,994.52,2750.28,0.008,0,0,0,0,0.00229824,0.0,0.00229824,0.002298,38,9,True,0,0.041,2.7e-05,0.0,1.0,1.0,0.001,"{""Nodo_4"": 5.112, ""Nodo_3"": 5.112, ""Nodo_5"": 5.113, ""Nodo_2"": 5.113, ""Nodo_1"": 5.113}",0,False,0.034836,0.034836,True,1,
1,0,Nodo_3,FedNova,1.0,1.0,1.0,1.0,1.0,0.0,0.10837340354919434,1.4901161193847656e-07,7.7,2.5,555.75,645.0,47.71,1500.0,15,0.0,0.177,94781,93226,4210.02,68,0,0,,,,,,,4906.78,0.177,0,829,712.77,2884.62,0.009,0,0,0,0,0.0038707200000000002,0.0,0.0038707200000000002,0.003871,64,12,True,0,0.041,2.7e-05,0.0,1.0,1.0,0.001,"{""Nodo_4"": 5.112, ""Nodo_3"": 5.112, ""Nodo_5"": 5.113, ""Nodo_2"": 5.113, ""Nodo_1"": 5.113}",0,False,0.034836,0.034836,True,1,
